관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
46880-100189762,영천휴먼시아,0,525.6,5745.76,5745.76,0,98,0,전라남도 장성군 장성읍 문화로 21-34,전라남도 장성군 장성읍 영천리 1660
41210-100192806,신촌휴먼시아,0,236.65,217.04,217.04,0,0,0,경기도 광명시 소하로 189,경기도 광명시 소하동 1366
30200-100195858,도안마을1단지,0,503.023,6774.453,6774.453,0,94,0,대전광역시 유성구 도안대로 560,대전광역시 유성구 봉명동 1024
47130-100197688,건천 휴먼시아,0,551.56,5090.55,5090.55,0,72,0,경상북도 경주시 건천읍 대곡용명길 27,경상북도 경주시 건천읍 건천리 627
29200-100220487,신완마을 휴먼시아,0,402.89,6145.42,6145.42,0,88,0,광주광역시 광산구 풍영로329번길 50,광주광역시 광산구 장덕동 1037
30200-100198328,도안휴먼시아10단지,0,9.99,9.99,9.99,0,0,0,대전광역시 유성구 원신흥로 37,대전광역시 유성구 원신흥동 495
46830-100195035,영암용앙2휴먼시아,0,574.99,6787.17,6787.17,0,84,0,전라남도 영암군 삼호읍 삼호중앙로 222,전라남도 영암군 삼호읍 용앙리 1739
48121-3000031191,봉림휴먼시아1단지,0,259.91,536.95,536.95,0,0,0,경상남도 창원시 의창구 소봉로 50,경상남도 창원시 의창구 봉림동 529
48121-3000026348,봉림휴먼시아2단지,0,228.48,219.93,219.93,0,0,0,경상남도 창원시 의창구 대봉로 25,경상남도 창원시 의창구 봉림동 714
43745-100178553,증평송산1휴먼시아,0,418.769,4735.95,4735.95,0,90,0,충청북도 증평군 증평읍 송산로 35,충청북도 증평군 증평읍 송산리 720
48330-100216062,소주휴먼시아,0,214.2,204.31,0,0,0,0,경상남도 양산시 번영로 435,경상남도 양산시 소주동 870-2
41430-100189855,포일 숲속마을,0,412.76,3876.78,3876.78,0,88,0,경기도 의왕시 이미로 17,경기도 의왕시 포일동 652
41360-100253669,별빛마을3단지,0,30.7,24.23,24.23,0,0,0,경기도 남양주시 별내5로 22,경기도 남양주시 별내동 1049
43114-100241496,청주율랑2엘에이치1단지아파트,0,12.26,8.88,8.88,0,0,0,충청북도 청주시 청원구 율량로 17,충청북도 청주시 청원구 주중동 852
11650-100225564,엘에이치서초4단지,0,637.77,8162.47,7868.07,0,106,0,서울특별시 서초구 양재대로2길 33,서울특별시 서초구 우면동 788
47230-100198581,영천망정휴먼시아5단지,0,375.53,4684.59,4656.31,0,60,0,경상북도 영천시 망정로 80,경상북도 영천시 망정동 378-1
48330-100219742,양산가촌휴먼시아,0,446.27,5600.96,5537.4,0,90,0,경상남도 양산시 물금읍 가촌로 155,경상남도 양산시 물금읍 가촌리 800
44770-100192850,종천휴먼시아,0,790.63,3834.79,3787.75,0,55,0,충청남도 서천군 종천면 충서로302번길 88-34,충청남도 서천군 종천면 종천리 37-13
46800-100195775,장흥건산2휴먼시아,0,12.48,12.48,12.48,0,0,0,전라남도 장흥군 장흥읍 북부로 3,전라남도 장흥군 장흥읍 건산리 810
48730-100193062,함안칠원엘에이치아파트,0,465.14,4808.71,4808.71,0,78,0,경상남도 함안군 칠원읍 구성길 141,경상남도 함안군 칠원읍 구성리 979
42150-100194075,포남엘에이치1단지아파트,0,533.29,6301.95,6301.95,0,105,0,강원도 강릉시 경강로2301번길 6,강원도 강릉시 포남동 1181
41220-100225378,휴먼시아2단지,0,465.02,4752.26,4752.26,0,88,0,경기도 평택시 경기대로 508,경기도 평택시 비전동 1004
26230-100206393,범천엘에이치아파트,5848.2,1398.04,4832.24,4832.24,0,0,0,부산광역시 부산진구 신암로 66,부산광역시 부산진구 범천동 1644
47113-100241205,포항장량5단지,0,433.14,5727.58,5674.18,0,75,0,경상북도 포항시 북구 장량중앙로 117,경상북도 포항시 북구 양덕동 654-1
41590-100692917,화성남양뉴타운루나포레,0,334.04,285.51,285.51,0,0,0,경기도 화성시 남양읍 역골동로 152,경기도 화성시 남양읍 남양리 2221
11680-100244850,엘에이치강남힐스테이트,0,4006.95,31427.43,30643.75,0,338,0,서울특별시 강남구 자곡로3길 21,서울특별시 강남구 자곡동 619
44230-100211430,논산내동2단지,0,326.14,4362.22,4299.6,0,100,0,충청남도 논산시 대학로65번길 19,충청남도 논산시 내동 1109
