지번주소;도로명주소;건물명;폐지여부
경상남도 통영시 도남동 483-2;경상남도 통영시 발개로 153;충무도남주공아파트;존재
충청남도 홍성군 홍성읍 남장리 522;충청남도 홍성군 홍성읍 문화로72번길 72;홍성남장2주공아파트;존재
제주특별자치도 제주시 화북일동 1002-1;제주특별자치도 제주시 화삼북로2길 12;삼화휴먼시아1단지;존재
충청북도 제천시 강제동 898;충청북도 제천시 청풍호로10길 18;휴먼시아3단지아파트;존재
전라남도 여수시 소라면 죽림리 1102;전라남도 여수시 소라면 덕양로 97-9;죽림휴먼시아;존재
전라남도 여수시 소라면 죽림리 1123;전라남도 여수시 소라면 죽림로 38;죽림휴먼시아2차;존재
충청북도 음성군 맹동면 쌍정리 131-1;충청북도 음성군 맹동면 대동로 26;음성맹동휴먼시아;존재
경상북도 고령군 다산면 곽촌리 357;경상북도 고령군 다산면 평리6길 30;다산휴먼시아3단지;존재
전라북도 순창군 풍산면 대가리 1678;전라북도 순창군 풍산면 풍산로 499;풍산휴먼시아 아파트;존재
경기도 부천시 괴안동 251-1;경기도 부천시 양지로 20;범박휴먼시아1단지;존재
전라북도 남원시 금동 586;전라북도 남원시 가방뜰길 57;금동휴먼시아;존재
강원도 원주시 무실동 1790;강원도 원주시 무실로 300;원주무실8단지엘에이치아파트;존재
경상남도 사천시 용현면 송지리 1320;경상남도 사천시 용현면 진삼로 580;용현휴먼시아;존재
충청북도 진천군 진천읍 벽암리 581;충청북도 진천군 진천읍 문화로 237-19;진천벽암휴먼시아;존재
부산광역시 강서구 지사동 1183-1;부산광역시 강서구 과학산단2로20번길 35;부산지사휴먼시아;존재
광주광역시 북구 신용동 667;광주광역시 북구 첨단연신로 250;첨단휴먼시아;존재
광주광역시 북구 신용동 679;광주광역시 북구 첨단연신로 245;첨단휴먼시아;존재
경상남도 양산시 동면 금산리 855;경상남도 양산시 동면 금산2길 12;양산금산휴먼시아;존재
경상북도 구미시 옥계동 905;경상북도 구미시 옥계북로 43-52;구미옥계휴먼시아 2단지;존재
전라남도 무안군 무안읍 성내리 387;전라남도 무안군 무안읍 공항로 75-9;무안성내휴먼시아;존재
경기도 용인시 수지구 상현동 1135;경기도 용인시 수지구 광교마을로 90;광교마을휴먼시아41단지;존재
강원도 강릉시 회산동 602;강원도 강릉시 강변로 94;회산주공아파트;존재
경상남도 거창군 거창읍 대동리 991;경상남도 거창군 거창읍 소만2길 62;소만주공아파트;존재
경상북도 경산시 사동 180;경상북도 경산시 백자로10길 57;사동휴먼시아1단지;존재
경상북도 경산시 평산동 695;경상북도 경산시 솔숲길 100;사동휴먼시아2단지;존재
경상북도 경산시 진량읍 부기리 715;경상북도 경산시 진량읍 금호강변로 830-3;진량 휴먼시아;존재
경상북도 고령군 다산면 상곡리 162-7;경상북도 고령군 다산면 상곡길 28;고령다산주공아파트;존재
경상남도 고성군 고성읍 동외리 567;경상남도 고성군 고성읍 동외로47번길 12;동외주공아파트;존재
전라북도 고창군 고창읍 읍내리 1222;전라북도 고창군 고창읍 성산로 19;고창읍내휴먼시아;존재
부산광역시 기장군 철마면 고촌리 615;부산광역시 기장군 철마면 고촌로44번길 16;고촌휴먼시아1;존재
경기도 광명시 소하동 1324;경기도 광명시 소하로 161;휴먼시아6단지아파트;존재
전라남도 광양시 마동 1030;전라남도 광양시 진등6길 31;마동주공아파트;존재
광주광역시 서구 동천동 658;광주광역시 서구 하남대로710번길 5;동천마을 6단지아파트;존재
광주광역시 남구 노대동 725;광주광역시 남구 효우로60번길 50;송화마을휴먼시아;존재
광주광역시 남구 노대동 726;광주광역시 남구 효우로60번길 37;송화마을휴먼시아;존재
광주광역시 남구 노대동 731;광주광역시 남구 효우로60번길 10;송화마을휴먼시아;존재
광주광역시 광산구 신가동 1064;광주광역시 광산구 수등로123번길 22;아름마을 휴먼시아;존재
광주광역시 광산구 흑석동 504;광주광역시 광산구 풍영로145번길 42;장자울마을 휴먼시아;존재
광주광역시 북구 신용동 647;광주광역시 북구 연양로7번길 58;신용주공아파트;존재
광주광역시 북구 연제동 11;광주광역시 북구 양산제로 110;연제주공아파트;존재
광주광역시 북구 용두동 1089;광주광역시 북구 하서로483번길 22;용두2주공아파트;존재
광주광역시 북구 용봉동 1461;광주광역시 북구 매곡로 20;주공아파트;존재
광주광역시 북구 동림동 234;광주광역시 북구 유림로160번길 5;죽림마을주공아파트;존재
전라북도 군산시 삼학동 888;전라북도 군산시 미원로 61;군산삼학주공아파트;존재
